MOD,DW,12,LACETTI,M1
MOD,DW,13,EVANDA,M2
MOD,EB,01,F275,NR
MOD,EB,02,F350,NR
MOD,EB,03,JX20,NR
MOD,EB,04,JX28,NR
MOD,EB,05,PATROL,NR
MOD,EB,06,TRADE,K1
MOD,EB,07,VANETTE,K1
MOD,FI,01,ARGENTA,NR
MOD,FI,02,CROMA,H
MOD,FI,03,FIORINO,M1
MOD,FI,04,PANDA,A
MOD,FI,05,PININFARINA,NR
MOD,FI,06,REGATA,M2
MOD,FI,07,RITMO,NR
MOD,FI,08,TEMPRA,M2
MOD,FI,09,TIPO,M1
MOD,FI,10,UNO,B
MOD,FI,11,X1/9,NR
MOD,FI,12,126,NR
MOD,FI,13,127,NR
MOD,FI,14,128,NR
MOD,FI,15,130,NR
MOD,FI,16,131,NR
MOD,FI,17,132,NR
MOD,FI,18,133,NR
MOD,FI,19,500,A
MOD,FI,20,600,A
MOD,FI,21,850,NR
MOD,FI,22,900,NR
MOD,FI,23,124,NR
MOD,FI,24,238,NR
MOD,FI,25,CINQUECENTO,A
MOD,FI,26,PUNTO,B
MOD,FI,27,COUPE,M2
MOD,FI,28,DUCATO,K2
MOD,FI,29,ULYSSE,H
MOD,FI,30,BARCHETTA,M1
MOD,FI,31,BRAVA,M1
MOD,FI,32,BRAVO,M1
MOD,FI,33,SCUDO,K1
MOD,FI,34,MAREA,M2
MOD,FI,35,PALIO,M1
MOD,FI,36,SEICENTO,A
MOD,FI,37,MULTIPLA,M1
MOD,FI,38,STRADA,K1
MOD,FI,39,DOBLO,M1
MOD,FI,40,STILO,M1
MOD,FI,41,IDEA,M1
MOD,FI,42,"GRANDE PUNTO",B
MOD,FI,43,"4X4 CROSS",A
MOD,FI,44,SEDICI,B
MOD,FI,45,"BRAVO II",M1
MOD,FI,46,"FIORINO QUBO",M1
MOD,FI,47,"PUNTO EVO",M1
MOD,FI,48,FREEMONT,H
MOD,FI,49,500L,M1
MOD,FI,50,500X,M1
MOD,FI,51,"124 SPIDER",M1
MOD,FI,52,FULLBACK,H
MOD,FI,53,TALENTO,K1
MOD,FI,54,"500 III",A
MOD,FI,55,"SCUDO III",K1
MOD,FI,56,"ULYSSE III",K1
MOD,FK,01,KARMA,H
MOD,FO,01,AEROSTAR,H
MOD,FO,02,ANGLIA,NR
MOD,FO,03,A0407,K2
MOD,FO,04,CAPRI,NR
